"Old","New","old","new"
"U+60E1","U+60AA","惡","悪"
"U+9C3A","U+9BF5","鰺","鯵"
"U+83F4","U+5EB5","菴","庵"
"U+570D","U+56F2","圍","囲"
"U+7232","U+70BA","爲","為"
"U+91AB","U+533B","醫","医"
"U+58F9","U+58F1","壹","壱"
"U+7A3B","U+7A32","稻","稲"
"U+98EE","U+98F2","飮","飲"
"U+5A6C","U+6DEB","婬","淫"
"U+96B1","U+96A0","隱","隠"
"U+9682","U+9670","隂","陰"
"U+4E12","U+4E11","丒","丑"
"U+5653","U+5618","噓","嘘"
"U+9B31","U+6B1D","鬱","欝"
"U+71DF","U+55B6","營","営"
"U+69AE","U+6804","榮","栄"
"U+885E","U+885B","衞","衛"
"U+9A5B","U+99C5","驛","駅"
"U+5713","U+5186","圓","円"
"U+70DF","U+7159","烟","煙"
"U+8277","U+8276","艷","艶"
"U+9206","U+925B","鈆","鉛"
"U+9E7D","U+5869","鹽","塩"
"U+5967","U+5965","奧","奥"
"U+5F83","U+5F80","徃","往"
"U+61C9","U+5FDC","應","応"
"U+9DAF","U+9D2C","鶯","鴬"
"U+6EAB","U+6E29","溫","温"
"U+5047","U+4EEE","假","仮"
"U+756B","U+753B","畫","画"
"U+5367","U+81E5","卧","臥"
"U+6703","U+4F1A","會","会"
"U+89E7","U+89E3","觧","解"
"U+56D8","U+56DE","囘","回"
"U+56EC","U+56DE","囬","回"
"U+58DE","U+58CA","壞","壊"
"U+5EFD","U+5EFB","廽","廻"
"U+6060","U+602A","恠","怪"
"U+61F7","U+61D0","懷","懐"
"U+7E6A","U+7D75","繪","絵"
"U+69E9","U+6982","槩","概"
"U+69EA","U+6982","槪","概"
"U+76D6","U+84CB","盖","蓋"
"U+8462","U+84CB","葢","蓋"
"U+67F9","U+67FF","柹","柿"
"U+9264","U+920E","鉤","鈎"
"U+652A","U+64B9","攪","撹"
"U+6BBC","U+6BBB","殼","殻"
"U+58F3","U+6BBB","壳","殻"
"U+89BA","U+899A","覺","覚"
"U+5B78","U+5B66","學","学"
"U+5DBD","U+5CB3","嶽","岳"
"U+6A02","U+697D","樂","楽"
"U+7AC8","U+7AC3","竈","竃"
"U+91E1","U+91DC","釡","釜"
"U+6822","U+67CF","栢","柏"
"U+9B3B","U+7CA5","鬻","粥"
"U+52F8","U+52E7","勸","勧"
"U+5377","U+5DFB","卷","巻"
"U+6B61","U+6B53","歡","歓"
"U+704C","U+6F45","灌","潅"
"U+89C0","U+89B3","觀","観"
"U+8AEB","U+8ACC","諫","諌"
"U+9592","U+9593","閒","間"
"U+95DC","U+95A2","關","関"
"U+9677","U+9665","陷","陥"
"U+8218","U+9928","舘","館"
"U+5DD6","U+5DCC","巖","巌"
"U+9D08","U+96C1","鴈","雁"
"U+9CEB","U+96C1","鳫","雁"
"U+984F","U+9854","顏","顔"
"U+5650","U+5668","噐","器"
"U+7AD2","U+5947","竒","奇"
"U+6B78","U+5E30","歸","帰"
"U+7688","U+5E30","皈","帰"
"U+6C23","U+6C17","氣","気"
"U+9F9C","U+4E80","龜","亀"
"U+50DE","U+507D","僞","偽"
"U+519D","U+5B9C","冝","宜"
"U+6232","U+622F","戲","戯"
"U+820A","U+65E7","舊","旧"
"U+64DA","U+62E0","據","拠"
"U+64E7","U+6319","擧","挙"
"U+8657","U+865A","虗","虚"
"U+4FE0","U+4FA0","俠","侠"
"U+5F3A","U+5F37","强","強"
"U+633E","U+631F","挾","挟"
"U+654E","U+6559","敎","教"
"U+69D7","U+6A4B","槗","橋"
"U+51B5","U+6CC1","况","況"
"U+72F9","U+72ED","狹","狭"
"U+80F7","U+80F8","胷","胸"
"U+9115","U+90F7","鄕","郷"
"U+66C9","U+6681","曉","暁"
"U+4FF1","U+5036","俱","倶"
"U+8EC0","U+8EAF","軀","躯"
"U+9A45","U+99C6","驅","駆"
"U+99C8","U+99C6","駈","駆"
"U+6852","U+6851","桒","桑"
"U+936B","U+936C","鍫","鍬"
"U+52F3","U+52F2","勳","勲"
"U+7FA3","U+7FA4","羣","群"
"U+5F91","U+5F84","徑","径"
"U+60E0","U+6075","惠","恵"
"U+6187","U+61A9","憇","憩"
"U+6EAA","U+6E13","溪","渓"
"U+8C3F","U+6E13","谿","渓"
"U+7D93","U+7D4C","經","経"
"U+7E7C","U+7D99","繼","継"
"U+8396","U+830E","莖","茎"
"U+87A2","U+86CD","螢","蛍"
"U+8F15","U+8EFD","輕","軽"
"U+9DC4","U+9D8F","鷄","鶏"
"U+96DE","U+9D8F","雞","鶏"
"U+85DD","U+82B8","藝","芸"
"U+7F3A","U+6B20","缺","欠"
"U+51B3","U+6C7A","决","決"
"U+528D","U+5263","劍","剣"
"U+5294","U+5263","劔","剣"
"U+5292","U+5263","劒","剣"
